,0
ExplicitGC,1
PingBean,1
PingCDIBean,0
PingCDIJSFBean,0
PingEJBIFace,0
PingEJBLocal,0
PingEJBLocalDecorator,0
PingInterceptor,0
PingInterceptorBinding,0
PingJDBCRead,0
PingJDBCRead2JSP,0
PingJDBCWrite,0
PingJSONP,1
PingManagedExecutor,0
PingManagedThread,1
PingReentryServlet,4
PingServlet,1
PingServlet2DB,0
PingServlet2Entity,0
PingServlet2Include,4
PingServlet2IncludeRcv,4
PingServlet2JNDI,1
PingServlet2Jsp,1
PingServlet2MDBQueue,4
PingServlet2MDBTopic,4
PingServlet2PDF,1
PingServlet2Servlet,1
PingServlet2ServletRcv,1
PingServlet2Session2CMROne2Many,0
PingServlet2Session2CMROne2One,0
PingServlet2Session2Entity,0
PingServlet2Session2Entity2JSP,0
PingServlet2Session2EntityCollection,0
PingServlet2SessionLocal,0
PingServlet2SessionRemote,0
PingServlet2TwoPhase,0
PingServlet30Async,0
PingServlet31Async,0
PingServlet31AsyncRead,1
PingServletCDI,0
PingServletCDIBeanManagerViaCDICurrent,0
PingServletCDIBeanManagerViaJNDI,0
PingServletLargeContentLength,0
PingServletSetContentLength,1
PingServletWriter,1
PingSession1,1
PingSession2,1
PingSession3,1
PingSession3Object,1
PingUpgradeServlet,1
PingWebSocketBinary,4
PingWebSocketJson,0
PingWebSocketTextAsync,0
PingWebSocketTextSync,0
TestServlet,4
AccountDataBean,2
AccountDataJSF,0
AccountProfileDataBean,2
LoginValidator,1
JSFLoginFilter,0
OrderData,0
OrderDataBean,2
CompleteOrderThread,0
OrderDataJSF,0
OrdersAlertFilter,4
PortfolioJSF,0
HoldingData,0
HoldingDataBean,2
DTBroker3MDB,0
DTStreamer3MDB,0
MarketSummaryDataBean,3
MarketSummaryJSF,0
MarketSummarySingleton,3
MarketSummaryWebSocket,1
QuoteData,0
QuoteDataBean,0
QuoteJSF,0
RecentStockChangeList,1
TradeScenarioServlet,4
TradeBuildDB,0
TradeWebContextListener,0
TradeConfig,4
TradeConfigJSF,0
TradeConfigServlet,0
RunStatsDataBean,0
KeyBlock,0
KeySequenceDirect,0
TradeAction,0
TradeAppJSF,0
TradeAppServlet,4
TradeDirect,0
TradeServices,0
TradeServletAction,0
TradeSLSBBean,0
TradeSLSBLocal,0
TradeSLSBRemote,0
FinancialUtils,3
MDBStats,0
TimerStat,0
TradeActionProducer,0
Log,1
ActionDecoder,1
ActionMessage,1
ExternalContextProducer,0
JsonDecoder,0
JsonEncoder,0
JsonMessage,0
WebSocketJMSMessage,1
