,Benchmarking,Account,Portfolio,Quotes,System Configuration
,1,0,0,0,0
orderImg(jsp),0,0,1,0,0
ServletContext,1,1,1,1,1
PingServletCDI,1,0,0,0,0
TradeBuildDB,0,0,0,0,1
ExplicitGC,1,0,0,0,0
InvocationContext,1,0,0,0,0
EJSLocal0SLTradeSLSBBean_78e9c356,1,1,1,1,0
Class,0,1,1,1,0
Runtime,1,0,0,0,0
DatabaseMetaData,0,0,0,0,1
TradeAppServlet,1,1,1,1,1
accountejb(table),0,1,1,1,1
WeavedAttributeValueHolderInterface,0,1,1,0,0
JsonGenerator,1,0,0,0,0
PingJDBCWrite,1,0,0,0,0
ResultSet,1,1,1,1,1
HttpServletResponse,1,1,1,1,1
MDBStats,1,0,1,0,1
TradeAction,1,1,1,1,1
AccountProfileDataBean,1,1,1,0,1
PingEJBLocalDecorator,1,0,0,0,0
StringBuffer,1,0,0,0,0
MDBProxyDTBroker3MDB_477fc2cf,1,0,1,0,0
ServletConfig,1,1,1,1,1
orderejb(table),0,1,1,1,1
Double,1,1,1,1,0
InitialContext,1,0,1,0,0
String,1,1,1,1,1
EJSRemote0SLTradeSLSBBean_78e9c356,1,1,1,1,0
PingServletCDIBeanManagerViaCDICurrent,1,0,0,0,0
PingServlet2MDBTopic,1,0,0,0,0
PingJDBCRead2JSP,1,0,0,0,0
CompleteOrderThread,0,0,1,0,0
PingEJBLocal,1,0,0,0,0
$Proxy76,0,0,1,0,0
accountImg(jsp),0,1,0,0,0
Object,1,1,0,1,0
ConnectionFactory,1,0,1,0,0
PingJDBCRead,1,0,0,0,0
HashMap,0,1,1,0,1
PingEJBIFace$993393407$Proxy$_$$_Weld$Proxy$,1,0,0,0,0
HttpSession,1,1,1,1,1
Event,1,1,1,1,0
Integer,1,1,1,0,1
ActionDecoder,0,1,1,1,0
KeyBlockIterator,0,1,1,0,1
ExternalContextProducer,0,0,0,0,0
holdingejb(table),0,1,1,0,1
Number,1,0,0,0,0
StringTokenizer,0,0,0,0,0
ProxyMethodHandler,1,0,0,0,0
Util,0,1,1,1,0
Thread,1,0,1,0,0
FinancialUtils,0,1,1,1,1
OutputStream,0,1,1,1,0
BufferedInputStream,1,0,0,0,0
account(jsp),0,1,0,0,0
UserTransaction,0,0,1,0,0
welcome(jsp),0,1,0,0,1
TradeServices,1,1,1,1,1
PingSession3,1,0,0,0,0
EJSLocalNSGMarketSummarySingleton_a06afdef,1,1,0,1,0
_EJSRemote0SLTradeSLSBBean_78e9c356_Tie,0,1,1,1,0
config(jsp),0,1,0,0,1
Date,1,1,0,1,0
Random,1,0,1,0,1
KeySequenceDirect,0,1,1,0,1
tradehome(jsp),0,1,0,0,1
Set,1,1,1,1,0
PingSession2,1,0,0,0,0
PingServlet2Jsp(jsp),1,0,0,0,0
welcomeImg(jsp),0,1,0,0,0
ArrayList,1,1,1,1,1
PingCDIBean$Proxy$_$$_WeldSubclass,1,0,0,0,0
JSFLoginFilter,1,0,0,0,0
ResponseHandler,0,1,1,1,0
Message,1,1,1,1,0
marketSummary(jsp),0,1,0,1,0
CombinedInterceptorAndDecoratorStackMethodHandler,1,0,0,0,0
PingEJBIFace$993393407$Proxy$_$$_WeldSubclass,1,0,0,0,0
_TradeSLSBRemote_Stub,0,1,1,1,0
tradehomeImg(jsp),0,1,0,0,0
PingServlet2Include,1,0,0,0,0
quoteImg(jsp),0,0,1,1,0
TimerStat,1,0,1,0,0
PingServlet2Session2EntityCollection,1,0,0,0,0
CDI,1,0,0,0,0
TradeActionProducer,0,0,0,0,0
error(jsp),1,1,0,0,0
Root,1,1,1,1,0
StackAwareMethodHandler,1,0,0,0,0
PingServletCDIBeanManagerViaJNDI,1,0,0,0,0
TradeDirect,1,1,1,1,1
PingServletWriter,1,0,0,0,0
BeanManager,1,0,0,0,0
DTStreamer3MDB,1,0,1,0,0
QueueConnectionFactory,1,0,1,0,0
Logger,1,1,0,1,0
OrdersAlertFilter,0,1,1,1,1
TradeSLSBBean,1,1,1,1,0
MarketSummarySingleton,1,1,1,1,1
TextMessage,1,0,1,0,0
HttpServletRequest,1,1,1,1,1
RunStatsDataBean,0,0,0,0,1
OrderDataBean,1,1,1,0,1
PingServlet2DB,1,0,0,0,0
Async,1,1,0,1,0
TradeScenarioServlet,1,0,0,0,0
QuoteJSF,0,0,0,0,0
TradeConfigServlet,0,1,0,0,1
Statement,0,0,0,0,1
PingEJBIFace,1,0,0,0,0
PingWebSocketBinary,1,0,0,0,0
PingServlet2SessionLocal,1,0,0,0,0
portfolioImg(jsp),0,0,1,0,0
Math,1,0,0,0,0
JsonParser,1,1,0,1,0
TradeServletAction,1,1,1,1,1
PingCDIJSFBean,1,0,0,0,0
KeyBlock,0,1,1,0,1
ManagedExecutorService,1,0,0,0,0
ActionMessage,0,1,0,1,0
CriteriaBuilder,1,1,1,1,0
Float,1,0,1,0,1
Session,1,1,0,1,0
MDBProxyDTStreamer3MDB_c7b8b1a6,1,0,1,0,0
PingServlet2Session2CMROne2Many,1,0,0,0,0
BufferedReader,0,0,0,0,1
order(jsp),0,0,1,0,0
System,1,1,1,1,1
TradeConfig,1,1,1,1,1
RequestDispatcher,1,1,1,1,1
Path,1,1,1,1,0
marketSummary(html),0,1,0,1,0
PrintStream,0,1,0,0,1
Collections,1,0,0,0,0
Throwable,1,1,0,1,0
ObjectImpl,0,1,1,1,0
accountprofileejb(table),0,1,1,0,1
QuoteDataBean,1,1,1,1,1
AsyncContext,1,0,0,0,0
runStats(jsp),0,0,0,0,1
Json,1,1,1,1,0
PingManagedExecutor,1,0,0,0,0
PingWebSocketTextAsync,1,0,0,0,0
Collection,1,1,1,1,1
PingBean,1,0,0,0,0
PropertyChangeListener,0,1,1,0,0
keygenejb(table),0,1,1,0,1
PingCDIBean$Proxy$_$$_WeldClientProxy,1,0,0,0,0
List,0,1,1,1,0
register(jsp),0,1,0,0,0
DTBroker3MDB,1,0,1,0,0
portfolio(jsp),0,0,1,0,0
PingServlet2IncludeRcv,1,0,0,0,0
JMSProducer,1,0,1,0,0
PingJsp(jsp),1,0,0,0,0
JsonMessage,1,0,0,0,0
EntityManager,1,1,1,1,0
PingServlet2Session2Entity,1,0,0,0,0
TypedQuery,1,1,1,1,0
PrintWriter,1,0,0,0,1
ServletOutputStream,1,0,0,0,0
MarketSummaryWebSocket,0,1,1,1,0
EJSLocal0SFPingEJBLocal_9c39fc21,1,0,0,0,0
ServletRequest,0,1,1,1,1
URLConnection,1,0,0,0,0
JsonObjectBuilder,1,1,1,1,0
displayQuote(jsp),1,0,1,1,0
PingServlet2Jsp,1,0,0,0,0
PingSession3Object,1,0,0,0,0
PingServlet2MDBQueue,1,0,0,0,0
StringBuilder,1,1,1,1,1
InterceptionDecorationContext,1,0,0,0,0
DefaultBytecodeMethodResolver,1,0,0,0,0
PingServlet,1,0,0,0,0
TradeSLSBLocal,1,0,1,0,0
MethodHandler,1,0,0,0,0
EJSDeployedSupport,1,1,0,0,0
StringWriter,1,0,0,0,0
quote(jsp),1,0,1,1,0
DataSource,1,1,1,1,1
JMSContext,1,0,1,0,0
registerImg(jsp),0,1,0,0,0
JsonReader,1,0,0,0,0
ExternalContext,0,0,0,0,0
PreparedStatement,1,1,1,1,1
CountDownLatch,0,1,0,1,0
HoldingDataBean,1,1,1,0,1
SessionContext,0,0,1,0,0
PingWebSocketTextSync,1,0,0,0,0
ManagedThreadFactory,1,0,1,0,0
BigDecimal,1,1,1,1,1
PingWebSocketJson,1,0,0,0,0
ApplicationException,0,1,0,0,0
PingServlet2Session2Entity2JSP,1,0,0,0,0
Log,1,1,1,1,1
RecentStockChangeList,0,1,1,1,0
FilterChain,1,1,1,1,1
InputStream,0,1,1,1,0
MarketSummaryDataBean,0,1,0,1,0
URL,1,0,0,0,0
TopicConnectionFactory,0,0,1,0,0
quoteDataPrimitive(jsp),1,0,0,0,0
PingInterceptor,1,0,0,0,0
TradeAction$Proxy$_$$_WeldClientProxy,0,0,0,0,0
PingJspEL(jsp),1,0,0,0,0
CriteriaQuery,1,1,1,1,0
FacesContext,0,0,0,0,0
AccountDataBean,1,1,1,0,1
PingServlet2JNDI,1,0,0,0,0
PingServlet2PDF,1,0,0,0,0
PingServlet2TwoPhase,1,0,0,0,0
PingJSONP,1,0,0,0,0
EJSContainer,1,1,1,1,0
BufferedOutputStream,1,0,0,0,0
JsonObject,1,1,0,1,0
Exception,1,0,0,0,0
JsonDecoder,1,0,0,0,0
Iterator,1,1,1,1,1
PingSession1,1,0,0,0,0
PingManagedThread,1,0,0,0,0
JsonEncoder,1,0,0,0,0
PingServlet2Session2CMROne2One,1,0,0,0,0
quoteejb(table),1,1,1,1,1
PingCDIBean,1,0,0,0,0
Connection,1,1,1,1,1
