,Account,Cart,Catalog,Order
OrderFormController,0,0,0,1
AccountDao,1,0,0,1
IncludeAccountFields(jsp),1,0,0,0
index(jsp),1,0,0,0
SqlMapCategoryDao,1,0,1,0
SearchProducts(jsp),0,0,1,0
OrderValidator,0,0,0,1
SqlMapItemDao,0,1,1,1
Error(jsp),1,0,0,0
ProductSearch,0,0,1,0
lineitem(table),0,0,0,1
Order,0,0,0,1
SqlMapProductDao,1,0,1,0
IncludeBanner(jsp),1,1,0,0
Cart(jsp),0,1,0,0
ViewOrder(jsp),0,0,0,1
UserSession,1,1,1,1
PetStoreFacade,1,1,1,1
CartItem,0,1,0,1
Sequence,0,0,0,1
item(table),0,1,1,0
ConfirmOrder(jsp),0,0,0,1
ViewCategoryController,0,0,1,0
orderstatus(table),0,0,0,1
category(table),1,0,1,0
ViewOrderController,0,0,0,1
inventory(table),0,1,1,1
SearchProductsController,0,0,1,0
Product,1,1,1,1
profile(table),1,0,0,1
IncludeTop(jsp),1,1,1,1
Account,1,1,0,1
Checkout(jsp),0,0,0,1
SignonController,1,0,0,0
Product(jsp),0,0,1,0
ProductDao,1,0,1,0
SqlMapOrderDao,0,0,0,1
IncludeBottom(jsp),1,0,1,1
account(table),1,0,0,1
OrderForm,0,0,0,1
bannerdata(table),1,0,0,1
SqlMapAccountDao,1,0,0,1
SignonInterceptor,1,0,0,1
product(table),1,1,1,0
ViewItemController,0,0,1,0
AddItemToCartController,0,1,0,0
ListOrdersController,0,0,0,1
$Proxy7,1,1,1,1
CategoryDao,1,0,1,0
NewOrderForm(jsp),0,0,0,1
Category,1,0,1,0
ViewProductController,0,0,1,0
PetStoreImpl,1,1,1,1
orders(table),0,0,0,1
LineItem,0,0,0,1
SignonForm(jsp),1,0,0,1
EditAccountForm(jsp),1,0,0,0
SignoffController,1,0,0,0
RemoveItemFromCartController,0,1,0,0
UpdateCartQuantitiesController,0,1,0,0
ListOrders(jsp),0,0,0,1
IncludeMyList(jsp),0,1,0,0
OrderDao,0,0,0,1
sequence(table),0,0,0,1
signon(table),1,0,0,1
SqlMapSequenceDao,0,0,0,1
AccountValidator,1,0,0,0
Item(jsp),0,0,1,0
Cart,0,1,0,1
Item,0,1,1,1
Category(jsp),0,0,1,0
ItemDao,0,1,1,1
AccountForm,1,0,0,0
ViewCartController,0,1,0,1
AccountFormController,1,0,0,0
