,Specialty,specialties(table),Vet,vet_specialties(table),vetList(html),VetRepository,VetController,vets(table),Vets,CacheConfiguration,Visit,VisitRepository,VisitController,visits(table),createOrUpdateVisitForm(html),OwnerController,Owner,ownerDetails(html),createOrUpdateOwnerForm(html),ownersList(html),OwnerRepository,owners(table),Pet,createOrUpdatePetForm(html),PetRepository,PetController,pets(table),PetType,types(table),PetValidator,PetTypeFormatter,findOwners(html),BaseEntity,NamedEntity,Person,PetClinicApplication,WelcomeController,CrashController,error(html),inputField(html),selectField(html),welcome(html),layout(html),package-info
Specialty,0.4880158628804561,0.6774342009456926,0.9076940168281709,0.7384405446965487,0.9076940168281709,0.9076940168281709,0.9076940168281709,0.9161247184020991,0.9161247184020991,0.46223890669489237,0.4655835253692883,0.4655835253692883,0.4655835253692883,0.439852829271627,0.42285359745316653,0.4237102917307075,0.4237102917307075,0.43810788253343635,0.3986764731599182,0.46504132211981797,0.4237102917307075,0.46504132211981797,0.3851900799749492,0.3788654363188117,0.3851900799749492,0.3851900799749492,0.4288692731526843,0.3462630553440116,0.32057696508830036,0.4051724378335564,0.3520499619323951,0.46504132211981797,0.7089215135339776,0.73245829603989,0.7397193573361284,0.37479247873311067,0.4700225158618201,0.46226076400790916,0.47407255251244307,0.46193142744775467,0.3471133940844856,0.4700225158618201,0.7224481476086825,0.47407255251244307
specialties(table),0.6774342009456926,0.4880158628804561,0.8892288014499127,0.6012561219991938,0.8892288014499127,0.8892288014499127,0.8892288014499127,0.8640310427442607,0.8640310427442607,0.4488923444607685,0.46018456437930744,0.46018456437930744,0.46018456437930744,0.39897477260217307,0.4604910680129934,0.4757688519090062,0.4757688519090062,0.4659297680717922,0.4670634205103145,0.4721970127043831,0.4757688519090062,0.4721970127043831,0.43969939015624304,0.4491303851253077,0.43969939015624304,0.43969939015624304,0.4396613150352334,0.4101846420706772,0.31551628017259437,0.45653012954797156,0.39401701709100856,0.4721970127043831,0.6896288948059197,0.7438090400023017,0.7564333453114632,0.4026845600288132,0.4673330881281781,0.4592257263736822,0.47407255251244307,0.4534731355220873,0.4000204574443285,0.4673330881281781,0.6883028163880195,0.47407255251244307
Vet,0.9076940168281709,0.8892288014499127,0.4880158628804561,0.6028041977608994,0.4880158628804561,0.4880158628804561,0.4880158628804561,0.6093915930656902,0.6093915930656902,0.44410240706793297,0.4251999504923361,0.4251999504923361,0.4251999504923361,0.3984343726332116,0.42650154604735024,0.37633290579179046,0.37633290579179046,0.3957643458351492,0.4017884175706639,0.38829911826882557,0.37633290579179046,0.38829911826882557,0.23342123371057455,0.3257221455054336,0.23342123371057455,0.23342123371057455,0.2855970172323558,0.26614703341117213,0.43728189522821115,0.27920140620086503,0.29492106246466787,0.38829911826882557,0.7267783813858529,0.7076549520453042,0.6670021029125666,0.241557762301917,0.43531821431509304,0.4465983626636001,0.47407255251244307,0.4513541086719132,0.4419884136467927,0.43531821431509304,0.7379641912726348,0.47407255251244307
vet_specialties(table),0.7384405446965487,0.6012561219991938,0.6028041977608994,0.4880158628804561,0.6028041977608994,0.6028041977608994,0.6028041977608994,0.66583763297548,0.66583763297548,0.43777502402592416,0.43282327990186353,0.43282327990186353,0.43282327990186353,0.37484058218425126,0.43388000948726835,0.41103680368444295,0.41103680368444295,0.417295206449604,0.4219978691079208,0.4165330395223181,0.41103680368444295,0.4165330395223181,0.2934154559094639,0.3602280765770448,0.2934154559094639,0.2934154559094639,0.3276381972247148,0.29540928915892484,0.3452361776420036,0.3345778351480384,0.3036216767882436,0.4165330395223181,0.6930516603535972,0.7162717380283797,0.6979226758007592,0.2743170856025469,0.4441846812309122,0.4462359977107986,0.47407255251244307,0.4455594782504355,0.40411961732212387,0.4441846812309122,0.6995184140233149,0.47407255251244307
vetList(html),0.9076940168281709,0.8892288014499127,0.4880158628804561,0.6028041977608994,0.4880158628804561,0.4880158628804561,0.4880158628804561,0.6093915930656902,0.6093915930656902,0.44410240706793297,0.4251999504923361,0.4251999504923361,0.4251999504923361,0.3984343726332116,0.42650154604735024,0.37633290579179046,0.37633290579179046,0.3957643458351492,0.4017884175706639,0.38829911826882557,0.37633290579179046,0.38829911826882557,0.23342123371057455,0.3257221455054336,0.23342123371057455,0.23342123371057455,0.2855970172323558,0.26614703341117213,0.43728189522821115,0.27920140620086503,0.29492106246466787,0.38829911826882557,0.7267783813858529,0.7076549520453042,0.6670021029125666,0.241557762301917,0.43531821431509304,0.4465983626636001,0.47407255251244307,0.4513541086719132,0.4419884136467927,0.43531821431509304,0.7379641912726348,0.47407255251244307
VetRepository,0.9076940168281709,0.8892288014499127,0.4880158628804561,0.6028041977608994,0.4880158628804561,0.4880158628804561,0.4880158628804561,0.6093915930656902,0.6093915930656902,0.44410240706793297,0.4251999504923361,0.4251999504923361,0.4251999504923361,0.3984343726332116,0.42650154604735024,0.37633290579179046,0.37633290579179046,0.3957643458351492,0.4017884175706639,0.38829911826882557,0.37633290579179046,0.38829911826882557,0.23342123371057455,0.3257221455054336,0.23342123371057455,0.23342123371057455,0.2855970172323558,0.26614703341117213,0.43728189522821115,0.27920140620086503,0.29492106246466787,0.38829911826882557,0.7267783813858529,0.7076549520453042,0.6670021029125666,0.241557762301917,0.43531821431509304,0.4465983626636001,0.47407255251244307,0.4513541086719132,0.4419884136467927,0.43531821431509304,0.7379641912726348,0.47407255251244307
VetController,0.9076940168281709,0.8892288014499127,0.4880158628804561,0.6028041977608994,0.4880158628804561,0.4880158628804561,0.4880158628804561,0.6093915930656902,0.6093915930656902,0.44410240706793297,0.4251999504923361,0.4251999504923361,0.4251999504923361,0.3984343726332116,0.42650154604735024,0.37633290579179046,0.37633290579179046,0.3957643458351492,0.4017884175706639,0.38829911826882557,0.37633290579179046,0.38829911826882557,0.23342123371057455,0.3257221455054336,0.23342123371057455,0.23342123371057455,0.2855970172323558,0.26614703341117213,0.43728189522821115,0.27920140620086503,0.29492106246466787,0.38829911826882557,0.7267783813858529,0.7076549520453042,0.6670021029125666,0.241557762301917,0.43531821431509304,0.4465983626636001,0.47407255251244307,0.4513541086719132,0.4419884136467927,0.43531821431509304,0.7379641912726348,0.47407255251244307
vets(table),0.9161247184020991,0.8640310427442607,0.6093915930656902,0.66583763297548,0.6093915930656902,0.6093915930656902,0.6093915930656902,0.4880158628804561,0.4880158628804561,0.45137582737521353,0.45882565921362584,0.45882565921362584,0.45882565921362584,0.40149898768851083,0.44511740797886085,0.4245269535431674,0.4245269535431674,0.43616133163969323,0.4271430203154513,0.3489960213990874,0.4245269535431674,0.3489960213990874,0.28756210651025,0.35621671687224693,0.28756210651025,0.28756210651025,0.28053350263021976,0.31530070253422043,0.39233259282837324,0.3272309245755599,0.3489289956161317,0.3489960213990874,0.7097614327168884,0.7743220725225411,0.699746507644647,0.29767201239069574,0.39819358720278636,0.4398697866290837,0.47407255251244307,0.4368773278491133,0.4643264008457618,0.39819358720278636,0.7348140518680507,0.47407255251244307
Vets,0.9161247184020991,0.8640310427442607,0.6093915930656902,0.66583763297548,0.6093915930656902,0.6093915930656902,0.6093915930656902,0.4880158628804561,0.4880158628804561,0.45137582737521353,0.45882565921362584,0.45882565921362584,0.45882565921362584,0.40149898768851083,0.44511740797886085,0.4245269535431674,0.4245269535431674,0.43616133163969323,0.4271430203154513,0.3489960213990874,0.4245269535431674,0.3489960213990874,0.28756210651025,0.35621671687224693,0.28756210651025,0.28756210651025,0.28053350263021976,0.31530070253422043,0.39233259282837324,0.3272309245755599,0.3489289956161317,0.3489960213990874,0.7097614327168884,0.7743220725225411,0.699746507644647,0.29767201239069574,0.39819358720278636,0.4398697866290837,0.47407255251244307,0.4368773278491133,0.4643264008457618,0.39819358720278636,0.7348140518680507,0.47407255251244307
CacheConfiguration,0.46223890669489237,0.4488923444607685,0.44410240706793297,0.43777502402592416,0.44410240706793297,0.44410240706793297,0.44410240706793297,0.45137582737521353,0.45137582737521353,0.0,0.4799592893625546,0.4799592893625546,0.4799592893625546,0.4677968589681333,0.403042138562334,0.4515807185392911,0.4515807185392911,0.4179255338901783,0.38220581543927046,0.447665683031611,0.4515807185392911,0.447665683031611,0.4649326641160938,0.391232875379012,0.4649326641160938,0.4649326641160938,0.46100328366888566,0.4048650329495694,0.3781715164279706,0.3987974397962663,0.30112488912007057,0.447665683031611,0.3846322479584766,0.4673199191041366,0.4389385541797314,0.40979165942193546,0.45959115332466866,0.39734804609067115,0.47407255251244307,0.38781899900628714,0.4090513285381638,0.45959115332466866,0.2729378508703177,0.47407255251244307
