,수의사 정보 검색,.ipynb_checkpoints,내원 일정 추가 성공,내원 일정 추가 실패,주인 등록 성공,주인 등록 실패,애완동물 등록 성공,애완동물 등록 실패,주인 정보 수정 성공,주인 정보 수정 실패,애완 동물 정보 수정 성공,애완 동물 정보 수정 실패,주인 검색(검색 결과 x),주인 검색(검색 결과 1개),주인 검색(검색 결과 여러개),"주인 정보 상세 조회 (동물x, 내원x)","주인 정보 상세 조회 (동물o, 내원x)","주인 정보 상세 조회 (동물o, 내원o)"
Map,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
createOrUpdateOwnerForm(html),0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
VisitRepository,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
StringBuilder,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
findOwners(html),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
BaseEntity,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Person,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NamedEntity,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1
Pet,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1
LocalDate,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
layout(html),1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PetRepository,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
owners(table),0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
PropertyComparator,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1
ownerDetails(html),0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1
Set,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
PetTypeFormatter,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
types(table),0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1
OwnerController,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
ownersList(html),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
vets(table),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
OwnerRepository,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
pets(table),0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
PetType,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1
Owner,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
