,Benchmarking,Account,Portfolio,Quotes,System Configuration
,0.08108108108108109,0.0,0.0,0.0,0.0
orderImg(jsp),0.0,0.0,0.2553191489361702,0.0,0.0
ServletContext,0.13513513513513514,0.984375,0.9893617021276596,1.0,1.0
PingServletCDI,0.02702702702702703,0.0,0.0,0.0,0.0
TradeBuildDB,0.0,0.0,0.0,0.0,0.4
ExplicitGC,0.02702702702702703,0.0,0.0,0.0,0.0
InvocationContext,0.08108108108108109,0.0,0.0,0.0,0.0
EJSLocal0SLTradeSLSBBean_78e9c356,0.1891891891891892,0.24479166666666666,0.3829787234042553,0.25263157894736843,0.0
Class,0.0,0.041666666666666664,0.0425531914893617,0.042105263157894736,0.0
Runtime,0.02702702702702703,0.0,0.0,0.0,0.0
DatabaseMetaData,0.0,0.0,0.0,0.0,0.2
TradeAppServlet,0.02702702702702703,0.9895833333333334,0.9893617021276596,1.0,0.2
accountejb(table),0.0,0.4947916666666667,0.4787234042553192,0.49473684210526314,0.8
WeavedAttributeValueHolderInterface,0.0,0.453125,0.39361702127659576,0.0,0.0
JsonGenerator,0.02702702702702703,0.0,0.0,0.0,0.0
PingJDBCWrite,0.02702702702702703,0.0,0.0,0.0,0.0
ResultSet,0.10810810810810811,0.4427083333333333,0.4787234042553192,0.49473684210526314,0.6
HttpServletResponse,0.7837837837837838,0.9895833333333334,0.9893617021276596,1.0,1.0
MDBStats,0.08108108108108109,0.0,0.5106382978723404,0.0,0.6
TradeAction,0.02702702702702703,0.9895833333333334,0.9893617021276596,1.0,0.4
AccountProfileDataBean,0.08108108108108109,0.5625,0.5106382978723404,0.0,0.2
PingEJBLocalDecorator,0.02702702702702703,0.0,0.0,0.0,0.0
StringBuffer,0.35135135135135137,0.0,0.0,0.0,0.0
MDBProxyDTBroker3MDB_477fc2cf,0.05405405405405406,0.0,0.19148936170212766,0.0,0.0
ServletConfig,0.13513513513513514,0.9895833333333334,0.9893617021276596,1.0,1.0
orderejb(table),0.0,0.4322916666666667,0.4787234042553192,0.49473684210526314,0.8
Double,0.02702702702702703,0.15625,0.6382978723404256,0.25263157894736843,0.0
InitialContext,0.05405405405405406,0.0,0.2553191489361702,0.0,0.0
String,0.10810810810810811,0.9895833333333334,0.9893617021276596,1.0,1.0
EJSRemote0SLTradeSLSBBean_78e9c356,0.05405405405405406,0.25,0.2553191489361702,0.25263157894736843,0.0
PingServletCDIBeanManagerViaCDICurrent,0.02702702702702703,0.0,0.0,0.0,0.0
PingServlet2MDBTopic,0.02702702702702703,0.0,0.0,0.0,0.0
PingJDBCRead2JSP,0.02702702702702703,0.0,0.0,0.0,0.0
CompleteOrderThread,0.0,0.0,0.14893617021276595,0.0,0.0
PingEJBLocal,0.02702702702702703,0.0,0.0,0.0,0.0
$Proxy76,0.0,0.0,0.02127659574468085,0.0,0.0
accountImg(jsp),0.0,0.125,0.0,0.0,0.0
Object,0.02702702702702703,0.2708333333333333,0.0,0.4105263157894737,0.0
ConnectionFactory,0.05405405405405406,0.0,0.2553191489361702,0.0,0.0
PingJDBCRead,0.02702702702702703,0.0,0.0,0.0,0.0
HashMap,0.0,0.06770833333333333,0.2553191489361702,0.0,0.2
PingEJBIFace$993393407$Proxy$_$$_Weld$Proxy$,0.02702702702702703,0.0,0.0,0.0,0.0
HttpSession,0.13513513513513514,0.8645833333333334,0.9893617021276596,1.0,0.2
Event,0.02702702702702703,0.2708333333333333,0.5,0.4105263157894737,0.0
Integer,0.13513513513513514,0.5625,0.6063829787234043,0.0,0.4
