,Account,Cart,Catalog,Order
OrderFormController,0.0,0.0,0.0,0.4
AccountDao,0.7142857142857143,0.0,0.0,0.4
IncludeAccountFields(jsp),0.5714285714285714,0.0,0.0,0.0
index(jsp),0.5714285714285714,0.0,0.0,0.0
SqlMapCategoryDao,0.5714285714285714,0.0,0.2,0.0
SearchProducts(jsp),0.0,0.0,0.4,0.0
OrderValidator,0.0,0.0,0.0,0.4
SqlMapItemDao,0.0,0.16666666666666666,0.4,0.4
Error(jsp),0.14285714285714285,0.0,0.0,0.0
ProductSearch,0.0,0.0,0.4,0.0
lineitem(table),0.0,0.0,0.0,0.6
Order,0.0,0.0,0.0,0.8
SqlMapProductDao,0.42857142857142855,0.0,0.8,0.0
IncludeBanner(jsp),0.5714285714285714,1.0,0.0,0.0
Cart(jsp),0.0,1.0,0.0,0.0
ViewOrder(jsp),0.0,0.0,0.0,0.6
UserSession,0.5714285714285714,0.5,0.5,0.8
PetStoreFacade,0.8571428571428571,0.16666666666666666,1.0,0.8
CartItem,0.0,0.8333333333333334,0.0,0.6
Sequence,0.0,0.0,0.0,0.4
item(table),0.0,0.16666666666666666,0.4,0.0
ConfirmOrder(jsp),0.0,0.0,0.0,0.2
ViewCategoryController,0.0,0.0,0.2,0.0
orderstatus(table),0.0,0.0,0.0,0.8
category(table),0.5714285714285714,0.0,0.2,0.0
ViewOrderController,0.0,0.0,0.0,0.2
inventory(table),0.0,0.16666666666666666,0.2,0.4
SearchProductsController,0.0,0.0,0.4,0.0
Product,0.42857142857142855,0.8333333333333334,0.8,0.6
profile(table),0.7142857142857143,0.0,0.0,0.4
IncludeTop(jsp),1.0,1.0,1.0,1.0
Account,0.8571428571428571,0.5,0.0,0.8
Checkout(jsp),0.0,0.0,0.0,0.6
SignonController,0.2857142857142857,0.0,0.0,0.0
Product(jsp),0.0,0.0,0.2,0.0
ProductDao,0.42857142857142855,0.0,0.8,0.0
SqlMapOrderDao,0.0,0.0,0.0,0.8
IncludeBottom(jsp),0.8571428571428571,0.0,1.0,1.0
account(table),0.7142857142857143,0.0,0.0,0.4
OrderForm,0.0,0.0,0.0,0.4
bannerdata(table),0.7142857142857143,0.0,0.0,0.4
SqlMapAccountDao,0.7142857142857143,0.0,0.0,0.4
SignonInterceptor,0.2857142857142857,0.0,0.0,1.0
product(table),0.42857142857142855,0.16666666666666666,1.0,0.0
ViewItemController,0.0,0.0,0.2,0.0
AddItemToCartController,0.0,0.16666666666666666,0.0,0.0
ListOrdersController,0.0,0.0,0.0,0.2
$Proxy7,0.8571428571428571,0.16666666666666666,1.0,0.8
CategoryDao,0.5714285714285714,0.0,0.2,0.0
NewOrderForm(jsp),0.0,0.0,0.0,0.4
Category,0.5714285714285714,0.0,0.2,0.0
ViewProductController,0.0,0.0,0.2,0.0
PetStoreImpl,0.8571428571428571,0.16666666666666666,1.0,0.8
orders(table),0.0,0.0,0.0,0.8
LineItem,0.0,0.0,0.0,0.6
SignonForm(jsp),0.2857142857142857,0.0,0.0,0.2
EditAccountForm(jsp),0.5714285714285714,0.0,0.0,0.0
SignoffController,0.14285714285714285,0.0,0.0,0.0
RemoveItemFromCartController,0.0,0.3333333333333333,0.0,0.0
UpdateCartQuantitiesController,0.0,0.16666666666666666,0.0,0.0
ListOrders(jsp),0.0,0.0,0.0,0.2
IncludeMyList(jsp),0.0,1.0,0.0,0.0
OrderDao,0.0,0.0,0.0,0.8
sequence(table),0.0,0.0,0.0,0.4
signon(table),0.7142857142857143,0.0,0.0,0.4
SqlMapSequenceDao,0.0,0.0,0.0,0.4
AccountValidator,0.5714285714285714,0.0,0.0,0.0
Item(jsp),0.0,0.0,0.2,0.0
Cart,0.0,1.0,0.0,0.6
Item,0.0,0.6666666666666666,0.4,0.6
Category(jsp),0.0,0.0,0.2,0.0
ItemDao,0.0,0.16666666666666666,0.4,0.4
AccountForm,0.5714285714285714,0.0,0.0,0.0
ViewCartController,0.0,0.3333333333333333,0.0,0.6
AccountFormController,0.5714285714285714,0.0,0.0,0.0
