,Vet,Visit,Customer
Map,0.0,1.0,0.35714285714285715
createOrUpdateOwnerForm(html),0.0,0.0,0.2857142857142857
VisitRepository,0.0,1.0,0.35714285714285715
StringBuilder,0.0,0.0,0.14285714285714285
findOwners(html),0.0,0.0,0.21428571428571427
BaseEntity,1.0,1.0,1.0
Person,1.0,1.0,1.0
NamedEntity,1.0,1.0,0.5714285714285714
Pet,0.0,1.0,0.5714285714285714
LocalDate,0.0,1.0,0.07142857142857142
layout(html),1.0,1.0,1.0
PetRepository,0.0,1.0,0.2857142857142857
owners(table),0.0,1.0,0.9285714285714286
PropertyComparator,1.0,1.0,0.6428571428571429
ownerDetails(html),0.0,0.5,0.5714285714285714
Set,1.0,1.0,0.14285714285714285
PetTypeFormatter,0.0,0.0,0.2857142857142857
types(table),0.0,1.0,0.5714285714285714
OwnerController,0.0,0.5,0.8571428571428571
ownersList(html),0.0,0.0,0.07142857142857142
vets(table),1.0,0.0,0.0
Class,0.0,0.0,0.2857142857142857
OwnerRepository,0.0,0.5,0.9285714285714286
pets(table),0.0,1.0,0.9285714285714286
PetType,0.0,1.0,0.5714285714285714
Owner,0.0,1.0,1.0
VetRepository,1.0,0.0,0.0
Collections,1.0,1.0,0.6428571428571429
PetValidator,0.0,0.0,0.2857142857142857
Visit,0.0,1.0,0.07142857142857142
{ownerId}(html),0.0,0.5,0.21428571428571427
VisitController,0.0,1.0,0.0
PetController,0.0,0.0,0.2857142857142857
PageRequest,1.0,0.0,0.21428571428571427
Vet,1.0,0.0,0.0
Page,1.0,0.0,0.21428571428571427
vetList(html),1.0,0.0,0.0
specialties(table),1.0,0.0,0.0
String,0.0,0.0,0.2857142857142857
StringUtils,0.0,0.0,0.2857142857142857
Long,1.0,0.0,0.07142857142857142
WebDataBinder,0.0,1.0,1.0
Model,1.0,0.0,0.21428571428571427
Collection,0.0,0.0,0.2857142857142857
Errors,0.0,0.0,0.14285714285714285
createOrUpdateVisitForm(html),0.0,1.0,0.0
Specialty,1.0,0.0,0.0
VetController,1.0,0.0,0.0
1(html),0.0,0.0,0.07142857142857142
11(html),0.0,0.0,0.07142857142857142
Vets,1.0,0.0,0.0
List,1.0,0.5,0.5714285714285714
BindingResult,0.0,1.0,0.6428571428571429
Integer,1.0,1.0,0.8571428571428571
selectField(html),0.0,0.0,0.2857142857142857
Iterator,0.0,0.5,0.7142857142857143
vet_specialties(table),1.0,0.0,0.0
ModelAndView,0.0,0.5,0.5714285714285714
ModelMap,0.0,0.0,0.2857142857142857
visits(table),0.0,1.0,0.35714285714285715
createOrUpdatePetForm(html),0.0,0.0,0.2857142857142857
inputField(html),0.0,1.0,0.5714285714285714
