,Account,Cart,Catalog,Order
SearchServlet,0.0,0.0,0.4,0.0
cart(jsp),0.0,1.0,0.0,0.0
index(jsp),0.4,0.0,0.2,0.3333333333333333
GioHangServlet,0.0,0.6666666666666666,0.0,0.0
History,0.0,0.0,0.0,0.6666666666666666
update_user(jsp),0.2,0.0,0.0,0.0
history(table),0.0,0.0,0.0,0.6666666666666666
LogoutServlet,0.1,0.0,0.0,0.0
resetpassword(jsp),0.3,0.0,0.0,0.0
footer(jsp),0.4,1.0,0.8,0.6666666666666666
user(table),0.8,0.0,0.0,0.6666666666666666
search_menu(jsp),0.0,0.0,0.4,0.0
login(jsp),0.4,0.0,0.0,0.0
search_page(jsp),0.0,0.0,0.4,0.0
User,0.5,0.0,0.0,0.6666666666666666
Product,0.4,0.8333333333333334,1.0,1.0
ResetPassword,0.3,0.0,0.0,0.0
DBConnect,0.9,0.6666666666666666,1.0,1.0
UpdateUser,0.2,0.0,0.0,0.0
detail(jsp),0.0,0.0,0.2,0.0
category(jsp),0.4,0.0,0.2,0.3333333333333333
history(jsp),0.0,0.0,0.0,0.3333333333333333
search(jsp),0.0,0.0,0.4,0.0
product(table),0.4,0.6666666666666666,1.0,1.0
UserDAOImpl,0.9,0.0,0.0,0.6666666666666666
CategoryDAOImpl,0.4,0.0,0.6,0.3333333333333333
LoginServlet,0.2,0.0,0.0,0.0
Category,0.4,0.0,0.6,0.3333333333333333
register(jsp),0.2,0.0,0.0,0.0
RegisterServlet,0.2,0.0,0.0,0.0
ProductDAOImpl,0.4,1.0,1.0,1.0
HistoryDAOImpl,0.0,0.0,0.0,0.6666666666666666
ConfirmServlet,0.0,0.0,0.0,0.3333333333333333
product(jsp),0.0,0.0,0.2,0.3333333333333333
Cart,0.0,0.8333333333333334,0.0,0.3333333333333333
category(table),0.4,0.0,0.6,0.3333333333333333
