,access,account,action,actions,adapter,adding,addr,address,adjust,advice,alternative,amend,american,andpassword,andshipping,andvisual,append,application,applied,array,ashopping,assignable,attr,attribute,backordered,banner,bannerdata,bannername,banneropt,based,batis,bean,beans,begin,bill,billaddr,billcity,billcountry,billing,billstate,billtofirstname,billtolastname,billzip,bind,binding,bottom,browse,browser,browsing,buffer,built,business,button,ca,call,calling,calls,card,cardtype,cart,cartbutton,carticon,catalog,categories,category,categoryname,catid,ccn,change,checked,checkout,choose,city,clazz,click,clicking,clickyour,client,clinton,code,collections,column,command,config,configured,confirm,confirmation,confirmed,contents,context,controller,correct,cost,country,courier,create,created,credit,creditcard,dao,data,date,dear,declarative,defining,demo,demonstrates,descn,describes,description,details,display,displays,easily,edit,email,empty,enable,endpoint,english,enter,error,errors,exist,exists,expiry,exprdate,express,facade,factory,failed,failure,fake,favcategory,favorite,favorites,favourite,fields,filled,filling,finish,firstname,fo,form,format,forward,found,handle,handler,hash,header,hierarchically,hoeller,holder,http,identifier,identify,illegal,impl,implementationby,include,including,increment,index,info,information,initializing,inorder,insert,installation,instock,instructions,integer,integrity,interceptor,inthe,invalid,invalidate,inventory,invoke,isdeployed,issues,itemid,items,iterator,japanese,jax,jdbc,jpetstore,jta,juergen,key,keyword,keywords,langpref,language,languages,lastname,layers,left,length,line,lineitem,linenum,link,listable,listof,listprice,loaded,locale,location,log,logger,logging,lower,mail,management,map,master,match,matching,menu,message,method,middle,mismatch,mm,model,ms,mvc,mylistopt,nested,nextid,note,nr,obj,object,objects,occured,ofitems,oforders,online,option,optionally,oracle,orderdate,orderid,ordernum,orderstatus,organized,otherinformation,page,paged,pages,parameter,parse,password,passwords,path,payment,perform,pet,pets,phone,piece,pojo,post,postal,pre,preference,press,pretty,prev,previous,price,prices,proceed,process,product,productid,products,profile,properties,property,provide,provided,qty,quantities,quantity,quantityof,query,quick,read,real,redirect,redirected,reference,register,reject,remove,removing,repeat,repeated,representing,request,requested,requestingpayment,required,requires,response,resulting,retrieval,returning,reviewing,rpc,running,screen,search,searching,section,select,selected,selecting,send,sender,sequence,serializable,server,service,services,servlet,session,shared,ship,shipaddr,shipcity,shipcountry,shipping,shipstate,shiptofirstname,shiptolastname,shipzip,shop,shopping,sign,signed,signin,signing,signoff,signon,signup,simple,single,source,splitter,spring,springframework,sql,start,status,stock,stop,store,stores,subject,submit,submitted,success,summary,suppid,supplier,support,supports,system,target,template,text,theapplication,theitem,theleft,thelist,thepicture,therequired,theright,theshopping,thesignin,throwable,tier,time,timed,timestamp,tocomplete,token,tokenizer,tokens,toplace,total,totalprice,transaction,trim,type,types,typing,unit,unitcost,unitprice,update,updatebutton,updated,updating,ups,url,user,userid,useridentifier,username,utils,validate,validation,validator,view,violation,visa,warn,watch,web,withoutregistering,wizard,xml,youcan,youraccount,yourshopping,yyyy
help(html),0,0.035692514,0,0.034639835,0,0.06927967,0,0.020447615,0.034639835,0,0,0.034639835,0,0.034639835,0.034639835,0.034639835,0,0.251612985,0,0,0.034639835,0,0,0,0.034639835,0.133136309,0,0,0,0,0,0,0,0.063365265,0,0,0,0,0.025502986,0,0,0,0,0,0,0,0.06927967,0.034639835,0.06927967,0,0,0,0,0,0,0,0,0,0,0.230869221,0.034639835,0.034639835,0.311758514,0.031682633,0.093073444,0.034639835,0,0,0.034639835,0,0.063365265,0.031682633,0,0,0.173199174,0.277118679,0.034639835,0,0.063365265,0,0,0.034639835,0,0,0,0,0.031682633,0,0.034639835,0,0,0.034639835,0,0,0,0,0.031682633,0,0,0,0,0,0,0,0,0.088753392,0,0,0.034639835,0.024529093,0,0.173199174,0.103919505,0,0,0.025502986,0,0,0,0,0.027956998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034639835,0.034639835,0,0,0,0,0,0,0,0,0,0,0,0.034639835,0,0,0,0.034639835,0.034639835,0,0,0.034639835,0,0,0,0,0,0.195698988,0,0.034639835,0,0.034639835,0.034639835,0.034639835,0,0,0,0.034639835,0,0,0,0,0.034639835,0.06927967,0,0.236700596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034639835,0,0,0,0,0.103919505,0,0.034639835,0,0,0,0,0.031682633,0,0.034639835,0,0,0,0,0,0,0,0,0,0,0.031682633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034639835,0.034639835,0.034639835,0,0,0,0,0,0,0,0.034639835,0.034639835,0.160311393,0,0,0,0,0.041976222,0,0,0,0.034639835,0.1275425,0.031682633,0,0,0,0,0,0,0,0,0,0,0,0,0.034639835,0.06927967,0,0.137209004,0,0.088753392,0,0,0,0.06927967,0.031682633,0,0,0.097368614,0.034639835,0,0,0.06927967,0,0,0.034639835,0,0.034639835,0,0.051005971,0.06927967,0,0,0.034639835,0,0.034639835,0.034639835,0,0.034639835,0,0.034639835,0,0,0.06927967,0,0,0.034639835,0.098116374,0.06927967,0.034639835,0.06927967,0,0.103919505,0.029584464,0,0,0,0,0,0,0,0.019031566,0,0,0,0,0,0.02367006,0,0,0,0,0,0.295844642,0.242478844,0.103919505,0.034639835,0.173199174,0,0,0.034639835,0,0,0,0,0,0,0,0,0,0.043143782,0,0.130302822,0.034639835,0,0.063365265,0,0,0,0,0,0,0,0,0,0,0.031682633,0.034639835,0.06927967,0.034639835,0.034639835,0.034639835,0.034639835,0.034639835,0.06927967,0.034639835,0,0,0,0,0,0.034639835,0,0,0,0.034639835,0,0,0,0,0,0,0.06927967,0,0,0,0,0.034639835,0,0.06927967,0,0,0.043143782,0,0.034639835,0,0,0,0,0,0,0,0,0,0,0,0.034639835,0,0,0.06927967,0.034639835,0.034639835,0
index(html),0,0,0,0,0,0,0,0,0,0,0.113310428,0,0,0,0,0,0,0.182900377,0.113310428,0,0,0,0,0,0,0,0,0,0,0.113310428,0.113310428,0,0,0.103637118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113310428,0.113310428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103637118,0,0,0,0,0,0.113310428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226620856,0,0.096773795,0.113310428,0,0,0,0,0,0,0.113310428,0,0,0,0,0,0,0.091450189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113310428,0,0,0,0,0,0,0,0,0.113310428,0,0.091450189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113310428,0,0.226620856,0.113310428,0,0,0,0,0,0,0,0.113310428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339931283,0,0,0,0,0,0,0,0.207274236,0,0,0,0,0.113310428,0,0,0,0,0,0,0,0.113310428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178801932,0,0,0,0.113310428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113310428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414548471,0,0,0,0,0,0,0.243562172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207274236,0,0,0,0,0,0,0,0,0,0,0.339931283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070563853,0,0,0,0,0,0,0
Account,0,0.037216939,0,0,0,0,0,0.298493044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444232177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13586805,0,0,0,0,0,0,0,0.15745258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162084543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18614552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204057283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231250575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594644336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153191586,0,0,0,0,0,0,0.194351577,0,0,0,0,0,0.231250575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021884512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15745258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138910821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountDao,0.380659296,0.797355808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148516703,0.362529008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085268795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078144268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085268795,0,0,0,0,0,0,0,0,0.212578603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountForm,0,0.784501976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201346111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32291506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487456884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046130723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AccountFormController,0,0.64484049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027593956,0,0.037730407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06734068,0.024542048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022446893,0.039565077,0,0,0,0,0,0,0.022446893,0,0,0,0,0,0,0,0,0,0,0.134681361,0,0,0,0,0,0,0,0.056521867,0,0,0,0,0,0,0,0,0,0.027593956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022446893,0,0.019807311,0,0,0.024542048,0,0,0.217880423,0,0.049084096,0,0,0,0.028973946,0,0,0,0,0,0,0,0.019807311,0,0,0,0,0,0,0.438091771,0,0,0,0,0,0.016770049,0,0,0,0.034757336,0.068984889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016225621,0,0,0,0,0.024542048,0,0,0,0,0,0,0,0,0,0,0,0.024542048,0,0,0,0,0,0,0,0,0,0,0.073626143,0,0,0,0.037730407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040451139,0,0.049084096,0.049084096,0,0,0,0,0.049084096,0,0.068984889,0,0,0,0.044893787,0,0,0,0,0.056521867,0,0,0,0,0,0.089787574,0,0,0,0,0,0,0,0,0.016225621,0.034757336,0,0.027593956,0,0.148699099,0.098168191,0.039614622,0,0,0.167816718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012151436,0,0,0,0,0,0,0.022446893,0,0,0,0,0,0,0,0,0,0,0.022446893,0,0.083841431,0,0,0,0.044893787,0,0.193157689,0,0,0.067080196,0,0.055187911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067418565,0.202255695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022446893,0,0,0,0,0,0,0,0.015283513,0,0,0.171448669,0,0,0.044893787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016225621,0,0,0,0,0,0.244536215,0,0,0.053934852,0.030567027,0.059421933,0.020960358,0.019807311,0.026967426,0.024542048,0,0,0,0.015283513,0,0,0,0,0,0,0
AccountValidator,0,0.071255345,0,0,0,0,0,0.108855833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042166768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08613081,0.084333536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088664619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101826622,0.33487452,0,0,0,0,0,0.40929108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042166768,0.026544257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106315557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354368632,0,0,0,0,0,0,0,0,0.56704942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042166768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258392429,0.03720828,0.354368632,0.11162484,0,0,0,0,0,0,0,0,0,0,0,0,0
AddItemToCartController,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047073385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659543061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144633612,0,0,0,0,0.067579814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098855106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049427553,0,0,0,0,0,0,0.094146771,0,0,0,0,0,0,0,0.067579814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094146771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047073385,0,0,0,0,0,0,0.396392882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083734082,0,0,0,0,0.047073385,0,0,0,0,0.083734082,0,0,0,0,0,0,0,0,0,0,0.235366927,0,0,0,0,0.094146771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092009138,0.138013708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20858096,0,0.404971762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083734082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083734082,0,0,0,0,0,0,0,0.05214524,0,0,0,0.092009138,0,0,0,0,0.05214524,0,0,0,0,0,0,0
Cart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881208087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039307843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026859798,0,0,0,0.083503783,0,0,0,0,0,0,0,0,0.095173314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16115879,0.095173314,0,0,0,0,0,0,0.035952133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215962285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025987814,0.083503783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075597023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24307767,0,0,0,0,0,0,0,0,0,0,0.08681918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023816435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157231371,0,0,0,0,0,0,0.073436653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107439194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CartItem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16309417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108623959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172561984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756630894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081547085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586707106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091967512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
