,address,admin,age,anh,array,attribute,auth,authentication,authenticator,ban,br,bán,bạn,bằng,calendar,cart,category,character,charset,check,chi,chính,ch�?chọn,ch�?close,command,compile,con,confirm,connect,connection,connecttion,cons,content,context,cookie,cookies,có,cập,da,date,db,dd,del,delete,detail,diachi,digits,dispatcher,driver,dt,dùng,dạng,dịch,dọc,dụng,email,enable,encoding,err,execute,footer,format,forward,fraction,ft,ghi,gia,gio,gioitinh,giá,gi�?giới,gmail,hang,header,hh,hinh,history,host,hoặc,html,http,hàng,hãng,hình,hóa,h�?hợp,impl,index,insert,instance,integer,internet,invalidate,io,item,jdbc,jsp,khoản,khuyến,khôi,không,khẩu,kiếm,kiểm,kí,ký,length,li,loai,localhost,login,logout,loại,luong,lượng,lập,lịch,mail,manager,matcher,matches,matkhauwebbanhang,max,menu,mess,message,messaging,mime,minimum,mm,mo,mua,muốn,mysql,mãi,mật,mới,nf,ngay,ngaysinh,ngày,người,nhất,nhận,nhập,nhật,nh�?nào,obj,page,parameter,parse,password,passwordreset,patten,pattern,phù,phải,phẩm,phục,plain,port,post,prepare,prepared,product,properties,props,ps,quantity,query,recipient,recipients,redirect,register,remove,request,reset,resetpassword,response,role,root,rs,runtime,sai,samsung,sdt,search,select,send,serial,servlet,session,shop,shopping,simple,sinh,smtp,soluong,sql,ss,starttls,statement,strong,subject,sx,system,sđt,sản,s�?s�?ta,tdate,ten,text,thanh,thanhtoán,thong,thoại,thấy,th�?thống,tien,time,timestamp,tiết,tiền,total,toán,tra,trang,trangch�?transport,trình,tr�?tr�?type,tài,tên,tìm,tính,tôi,tại,tồn,tổng,uid,ul,update,url,utf,version,vnđ,v�?v�?webbanhang,xemthông,xuat,xuất,xác,yyyy,za,zip,ít,đang,điều,điện,đã,đóng,đăng,đăngký,đăngnhập,đăngxuất,đơn,đầy,đến,đ�?địa,định,đồng,đ�?ảnh,ứng,,,,,,,,,,,,,,,
Cart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304048038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264511935,0,0,0,0.915198463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Category,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145622498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665848656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46076081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46076081,0,0.332924328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CategoryDAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970944891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133590132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177583096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088791548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CategoryDAOImpl,0,0,0,0,0.017495257,0,0,0,0,0,0,0,0,0,0,0,0.472371934,0,0,0,0,0,0,0,0,0.103232233,0,0,0.3096967,0,0.097120261,0.097120261,0.097120261,0,0,0,0,0,0,0,0,0,0.097120261,0,0.024071332,0.024071332,0,0,0,0,0,0.026789816,0,0,0,0,0,0,0,0,0,0.103232233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063996668,0,0.020646447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351981672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199282829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103232233,0.206464467,0,0,0,0.350989593,0,0.041292893,0,0,0,0,0,0,0,0,0,0,0,0.206464467,0,0,0.026789816,0,0,0.041292893,0,0,0,0,0,0,0,0,0,0,0.250583517,0,0,0.3096967,0,0,0,0,0,0,0,0,0.199282829,0,0.143992502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095995001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ConfirmServlet,0.067057383,0,0,0,0.048737899,0.048737899,0.033528692,0.100586075,0.033528692,0.08627462,0,0,0,0,0.149260953,0.281775657,0,0,0.067057383,0,0,0,0,0,0,0,0,0,0,0.149260953,0,0,0,0,0.061684188,0,0,0,0,0,0,0.108222188,0,0.030842094,0,0,0,0,0.037315238,0,0,0,0,0,0,0,0,0.022285062,0.033528692,0,0,0,0,0.215894657,0,0.037315238,0.074630477,0,0.08627462,0,0,0,0,0,0.067057383,0,0.033528692,0.037315238,0,0.179311782,0.033528692,0,0.030842094,0.116345002,0.024368949,0,0,0,0,0,0.133710374,0.025615969,0,0.100586075,0,0.067057383,0,0.046538001,0,0,0.023269,0,0,0,0,0,0,0,0,0,0,0.074630477,0,0,0,0,0,0,0,0,0,0.335286915,0,0,0,0.033528692,0,0,0,0.335286915,0.033528692,0.033528692,0.037315238,0.061684188,0,0,0,0,0,0,0,0.149260953,0,0,0,0,0,0,0,0,0,0,0,0,0.024368949,0.027055547,0.111425312,0,0,0,0,0,0,0,0.033528692,0.033528692,0.023269,0,0,0.245135686,0.067057383,0.201172149,0,0.092526282,0,0.033528692,0.033528692,0.023269,0,0,0.162883002,0,0,0.116345002,0,0,0,0.033528692,0,0,0,0,0,0.046538001,0.023269,0.232690003,0.153695813,0.033528692,0,0.061684188,0,0.167643458,0,0.046538001,0.037315238,0.033528692,0,0.134114766,0.100586075,0,0,0,0,0,0,0,0.074630477,0.022285062,0.185052563,0.027055547,0,0,0,0,0,0,0,0.061684188,0.061684188,0,0,0.149260953,0.033528692,0,0,0,0.033528692,0,0,0,0.061684188,0,0,0,0,0,0,0,0.033528692,0.023269,0.037315238,0,0,0.054111094,0.023269,0.048737899,0,0,0.033528692,0,0,0,0,0.030842094,0,0,0,0,0,0,0,0,0,0,0,0,0.033528692,0,0,0,0,0,0,0,0,0
DBConnect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230537718,0.345806578,0.230537718,0.476939343,0,0,0,0,0,0,0,0,0.230537718,0,0,0,0,0,0,0,0.317959562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317959562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158979781,0,0,0,0,0,0,0,0,0.158979781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317959562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317959562,0,0,0,0,0,0,0,0,0,0,0,0,0.158979781,0,0,0,0,0,0,0,0,0,0,0,0.115268859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GioHangServlet,0,0,0,0,0.014495063,0.057980252,0,0,0,0,0,0,0,0,0,0.792314189,0,0,0,0,0,0,0,0,0,0,0.133174408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059830298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066587204,0,0,0,0,0,0.051317603,0,0,0,0,0,0,0,0.124567153,0,0,0,0,0,0,0,0,0,0,0.099717163,0,0,0.02768159,0.332936019,0,0.055363179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043485189,0.080465484,0,0,0,0,0,0,0,0,0,0,0.02768159,0,0,0.159066382,0,0,0,0.146763191,0,0,0,0.055363179,0,0.088782938,0.166089537,0,0,0.124567153,0,0,0,0,0,0,0,0,0,0.055363179,0.013840795,0.138407948,0.243788981,0.07977373,0,0,0,0,0.022195735,0,0,0,0,0,0,0,0.032186194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013840795,0,0,0,0,0.013840795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468837141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403206052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375962899,0,0,0,0,0,0,0.403206052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353703623,0,0,0,0,0,0,0.403206052,0,0.161282421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HistoryDAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HistoryDAOImpl,0,0,0,0,0.034488015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081399773,0,0,0.24419932,0,0.076580415,0.076580415,0.076580415,0,0,0,0,0,0,0,0,0,0.076580415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081399773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543792787,0,0,0,0,0,0,0,0,0,0,0.063077612,0,0.040699887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174596383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162799547,0,0,0,0,0,0,0.174596383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081399773,0.162799547,0,0,0,0.447698753,0,0.040699887,0,0,0,0,0,0,0,0,0,0,0,0.325599093,0,0,0,0,0,0.040699887,0,0,0,0,0,0,0,0,0,0,0.197587913,0,0,0.24419932,0,0,0,0,0,0,0,0,0,0,0,0,0.153160829,0,0,0,0,0,0,0.174596383,0,0.130947287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031538806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
